type,possession_team,player,position,player_id,pass_recipient,id,timestamp,location,pass_end_location,pass_length,pass_outcome
Pass,RB Leipzig,Ikoma Loïs Openda,Right Center Forward,16275.0,Timo Werner,8c6a7ee4-0cbc-447f-9666-bdcf7d50e3ba,00:28:51.935,"[89.6, 5.7]","[84.0, 5.1]",5.632051,
Pass,RB Leipzig,David Raum,Left Back,12034.0,Nicolas Seiwald,60ce0c2f-8a3f-42c3-899a-5650de13e7a6,00:28:54.608,"[71.5, 6.5]","[69.7, 16.9]",10.55462,Incomplete
Pass,RB Leipzig,David Raum,Left Back,12034.0,Ikoma Loïs Openda,f829fd97-0c07-4240-a7b5-761a63f20c96,00:30:39.124,"[34.1, 8.5]","[44.8, 21.5]",16.837162,
Pass,RB Leipzig,Ikoma Loïs Openda,Right Center Forward,16275.0,Willi Orban,bbe922d3-9ff5-4efe-b81d-56cedecb2eb1,00:30:43.775,"[39.0, 25.5]","[21.5, 26.1]",17.510283,
Pass,RB Leipzig,Willi Orban,Left Center Back,8509.0,Janis Blaswich,ec46dd96-e009-4980-892c-0c43c0d9a37c,00:30:46.734,"[20.1, 27.8]","[8.8, 40.6]",17.07425,
Pass,RB Leipzig,Janis Blaswich,Goalkeeper,15155.0,Mohamed Simakan,c4267705-9517-4871-a2ee-a52da327d5ce,00:30:51.628,"[7.6, 44.8]","[9.6, 56.5]",11.869709,
Pass,RB Leipzig,Mohamed Simakan,Right Center Back,30360.0,Janis Blaswich,3deca476-c6a9-4126-a05c-e943067875e4,00:30:54.183,"[10.8, 59.7]","[5.6, 47.6]",13.170042,
Pass,RB Leipzig,Janis Blaswich,Goalkeeper,15155.0,Willi Orban,6de27aba-fa2a-417c-bf42-11091f2a4742,00:30:57.168,"[6.2, 45.8]","[7.6, 20.9]",24.939327,
Pass,RB Leipzig,Willi Orban,Left Center Back,8509.0,Janis Blaswich,627d0450-1390-47c9-a03d-7ce60af371f1,00:31:00.361,"[10.8, 12.7]","[3.2, 38.2]",26.608458,
Pass,RB Leipzig,Janis Blaswich,Goalkeeper,15155.0,Mohamed Simakan,42a2f918-898d-4de1-acb1-5dcc74ef4d59,00:31:06.022,"[8.2, 36.6]","[7.4, 55.7]",19.116747,
Pass,RB Leipzig,Mohamed Simakan,Right Center Back,30360.0,Janis Blaswich,449e1f8a-452f-4b0d-94a5-a7115da70ae1,00:31:09.182,"[7.2, 58.3]","[3.8, 43.4]",15.282997,
Pass,RB Leipzig,Janis Blaswich,Goalkeeper,15155.0,Mohamed Simakan,805930c8-3094-400f-ab17-d2f50b5b2efc,00:31:15.997,"[7.2, 40.4]","[7.6, 56.1]",15.705094,
Pass,RB Leipzig,Mohamed Simakan,Right Center Back,30360.0,Janis Blaswich,471492a1-2b32-4e64-a3e5-76e4bc507d8e,00:31:17.508,"[7.6, 57.1]","[4.4, 42.8]",14.653668,
Pass,RB Leipzig,Janis Blaswich,Goalkeeper,15155.0,Willi Orban,0064eca1-fba6-4380-b26c-cfde6828e5b5,00:31:20.393,"[6.6, 39.4]","[9.8, 13.7]",25.898455,
Pass,RB Leipzig,Willi Orban,Left Center Back,8509.0,Janis Blaswich,62c9246b-d340-4661-b9a0-9a81e257de74,00:31:24.675,"[14.9, 12.5]","[4.8, 36.4]",25.946484,
Pass,RB Leipzig,Janis Blaswich,Goalkeeper,15155.0,David Raum,140c653a-e218-47be-8b5a-e3e03a50de3b,00:31:31.831,"[8.4, 37.0]","[22.3, 9.1]",31.17082,
Pass,RB Leipzig,David Raum,Left Back,12034.0,Daniel Olmo Carvajal,48515532-d590-4e05-9bb1-d20eba84e220,00:31:52.697,"[27.1, 0.1]","[33.9, 7.3]",9.903535,
Pass,RB Leipzig,Daniel Olmo Carvajal,Left Center Forward,16532.0,David Raum,6f2cb084-1b44-44b3-bbd0-970606ad302e,00:31:53.715,"[32.9, 8.1]","[23.9, 6.7]",9.108238,
Pass,RB Leipzig,Xavi Simons,Right Midfield,39167.0,Benjamin Henrichs,f7d278a2-8815-46b4-aef3-af0e8824b64d,00:32:21.335,"[65.1, 80.0]","[51.8, 77.0]",13.634149,
Pass,RB Leipzig,Benjamin Henrichs,Right Back,8211.0,Mohamed Simakan,0a7b193d-0fc7-48a5-9b4c-e40dc4cb1c15,00:32:23.652,"[53.4, 76.2]","[41.6, 71.9]",12.55906,
Pass,RB Leipzig,Mohamed Simakan,Right Center Back,30360.0,Willi Orban,23b964ce-a666-42fe-8ddc-5247008e2cd3,00:32:26.639,"[43.0, 67.7]","[37.0, 37.6]",30.69218,
