,50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
985,,,,,,,,,,,,,,,,,,0.838422,,,,,,,,,,,,950e64ed-9e83-4ce7-9de1-0a46674efb92,3368,,,"[56.7, 62.4]",3895052,85,,,,-1.8451371,,Right Foot,,,"[52.0, 45.7]",,Ground Pass,,17.348776,,,,,Mohamed Simakan,30360.0,,,,,,2,Regular Play,Willi Orban,8509.0,Right Center Back,162,RB Leipzig,182,['0ca3a168-c634-45df-a3f8-c825a1bee1f1'],23,,,,,,,,,,,,,,,,,RB Leipzig,182,00:40:23.793,Pass,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0ca3a168-c634-45df-a3f8-c825a1bee1f1,3369,,,"[52.0, 45.7]",3895052,85,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Mohamed Simakan,30360.0,Center Back,162,RB Leipzig,182,['950e64ed-9e83-4ce7-9de1-0a46674efb92'],24,,,,,,,,,,,,,,,,,RB Leipzig,182,00:40:24.632,Ball Receipt*,
2916,,,,,,"[53.5, 40.4]",,,,,,,,,,,,1.729094,,,,,,,,,,,,cc917ab4-bcc8-4cd5-b943-042ad375ed68,3370,,,"[52.0, 45.7]",3895052,85,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Mohamed Simakan,30360.0,Center Back,162,RB Leipzig,182,"['0ca3a168-c634-45df-a3f8-c825a1bee1f1', 'aeed2fea-5716-4a95-bd41-b67ec35fb991']",24,,,,,,,,,,,,,,,,,RB Leipzig,182,00:40:24.632,Carry,
986,,,,,,,,,,,,,,,,,,1.56,,,,,,,,,,,,aeed2fea-5716-4a95-bd41-b67ec35fb991,3371,,,"[53.5, 40.4]",3895052,85,,,,-1.1054186,,Right Foot,,,"[65.1, 17.3]",,Ground Pass,,25.848984,,,,,Junior Castello Lukeba,40185.0,,,,,,2,Regular Play,Mohamed Simakan,30360.0,Center Back,162,RB Leipzig,182,['78a0b5c5-679c-4472-8094-04057612f803'],26,,,,,,,,,,,,,,,,,RB Leipzig,182,00:40:26.361,Pass,
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78a0b5c5-679c-4472-8094-04057612f803,3372,,,"[65.1, 17.3]",3895052,85,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Junior Castello Lukeba,40185.0,Left Center Back,162,RB Leipzig,182,['aeed2fea-5716-4a95-bd41-b67ec35fb991'],27,,,,,,,,,,,,,,,,,RB Leipzig,182,00:40:27.921,Ball Receipt*,
2917,,,,,,"[76.9, 10.8]",,,,,,,,,,,,2.286365,,,,,,,,,,,,e1733612-16b4-4e1a-97bf-5273dd817bbf,3373,,,"[65.1, 17.3]",3895052,85,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Junior Castello Lukeba,40185.0,Left Center Back,162,RB Leipzig,182,"['2a678a25-709e-4312-8514-658810d6301a', '78a0b5c5-679c-4472-8094-04057612f803']",27,,,,,,,,,,,,,,,,,RB Leipzig,182,00:40:27.921,Carry,
987,,,,,,,,,,,,,,,,,,0.636594,,,,,,,,,,,,2a678a25-709e-4312-8514-658810d6301a,3374,,,"[76.9, 10.8]",3895052,85,,,,0.8243395,,Left Foot,,,"[84.3, 18.8]",,Ground Pass,,10.897706,,,,,Fabio Carvalho,74659.0,,,,,,2,Regular Play,Junior Castello Lukeba,40185.0,Left Center Back,162,RB Leipzig,182,['99176042-4b26-468e-9482-74ac500aa810'],30,,,,,,,,,,,,,,,,,RB Leipzig,182,00:40:30.207,Pass,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99176042-4b26-468e-9482-74ac500aa810,3375,,,"[84.3, 18.8]",3895052,85,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Fabio Carvalho,74659.0,Left Defensive Midfield,162,RB Leipzig,182,['2a678a25-709e-4312-8514-658810d6301a'],30,,,,,,,,,,,,,,,,,RB Leipzig,182,00:40:30.844,Ball Receipt*,
2918,,,,,,"[80.3, 16.8]",,,,,,,,,,,,1.007493,,,,,,,,,,,,78feb363-8397-4150-9e4a-89a1101328f8,3376,,,"[84.3, 18.8]",3895052,85,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Fabio Carvalho,74659.0,Left Defensive Midfield,162,RB Leipzig,182,"['064a083c-66ff-4d81-86b7-fcbbe7d3ef69', '1fd384f3-8ee7-4c69-b50f-3deee78ac884', '99176042-4b26-468e-9482-74ac500aa810']",30,,,,,,,,,,,,,,,,,RB Leipzig,182,00:40:30.844,Carry,True
3318,,,,,,,,,,,,,,,,,,0.178126,,,,,,,,,,,,064a083c-66ff-4d81-86b7-fcbbe7d3ef69,3377,,,"[36.0, 62.4]",3895052,85,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Robert Andrich,9195.0,Center Defensive Midfield,162,RB Leipzig,182,['78feb363-8397-4150-9e4a-89a1101328f8'],30,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:40:30.867,Pressure,
