,50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,69bb4fa7-f177-49a8-9b19-7c01cd9d9a9c,1,,,,3895052,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Bayer Leverkusen,904,,0,,,,,,,,,,,,,,,,"{'formation': 343, 'lineup': [{'player': {'id': 8667, 'name': 'Lukáš Hrádecký'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 27133, 'name': 'Odilon Kossonou'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 6}, {'player': {'id': 8221, 'name': 'Jonathan Tah'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 4}, {'player': {'id': 30606, 'name': 'Edmond Fayçal Tapsoba'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 12}, {'player': {'id': 32712, 'name': 'Jeremie Frimpong'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 30}, {'player': {'id': 10336, 'name': 'Alejandro Grimaldo García'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 20}, {'player': {'id': 28268, 'name': 'Exequiel Alejandro Palacios'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 25}, {'player': {'id': 3500, 'name': 'Granit Xhaka'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 34}, {'player': {'id': 8804, 'name': 'Jonas Hofmann'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 7}, {'player': {'id': 40724, 'name': 'Florian Wirtz'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 10}, {'player': {'id': 32289, 'name': 'Victor Okoh Boniface'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 22}]}",Bayer Leverkusen,904,00:00:00.000,Starting XI,
1,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,9790a466-9c56-42aa-96aa-a9ad1a6f8811,2,,,,3895052,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Bayer Leverkusen,904,,0,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 15155, 'name': 'Janis Blaswich'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 21}, {'player': {'id': 8211, 'name': 'Benjamin Henrichs'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 39}, {'player': {'id': 30360, 'name': 'Mohamed Simakan'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 2}, {'player': {'id': 8509, 'name': 'Willi Orban'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 12034, 'name': 'David Raum'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 22}, {'player': {'id': 39460, 'name': 'Nicolas Seiwald'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 13}, {'player': {'id': 8769, 'name': 'Xaver Schlager'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 24}, {'player': {'id': 39167, 'name': 'Xavi Simons'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 20}, {'player': {'id': 5557, 'name': 'Timo Werner'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 11}, {'player': {'id': 16275, 'name': 'Ikoma Loïs Openda'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 17}, {'player': {'id': 16532, 'name': 'Daniel Olmo Carvajal'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 7}]}",RB Leipzig,182,00:00:00.000,Starting XI,
2,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,c6762724-3ad0-4ed1-b232-7f32ac192ec6,3,,,,3895052,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Bayer Leverkusen,904,['ba22283a-c920-448c-804e-3737cccd9fff'],0,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:00:00.000,Half Start,
3,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,ba22283a-c920-448c-804e-3737cccd9fff,4,,,,3895052,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Bayer Leverkusen,904,['c6762724-3ad0-4ed1-b232-7f32ac192ec6'],0,,,,,,,,,,,,,,,,,RB Leipzig,182,00:00:00.000,Half Start,
6,,,,,,,,,,,,,,,,,,0.321221,,,,,,,,,,,,9a50295b-7f7a-449c-9ef3-87e60467e8e1,5,,,"[61.0, 40.1]",3895052,0,True,,,2.968347,,Right Foot,,,"[57.0, 40.8]",,Ground Pass,,4.060788,,,,,Daniel Olmo Carvajal,16532.0,,,,,Kick Off,1,From Kick Off,Ikoma Loïs Openda,16275.0,Right Center Forward,2,RB Leipzig,182,['17c0df03-219a-4603-befe-8cd2f58d6d47'],0,,,,,,,,,,,,,,,,,RB Leipzig,182,00:00:00.773,Pass,
1087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17c0df03-219a-4603-befe-8cd2f58d6d47,6,,,"[57.0, 40.8]",3895052,0,,,,,,,,,,,,,,,,,,,,,,,,,1,From Kick Off,Daniel Olmo Carvajal,16532.0,Left Center Forward,2,RB Leipzig,182,['9a50295b-7f7a-449c-9ef3-87e60467e8e1'],1,,,,,,,,,,,,,,,,,RB Leipzig,182,00:00:01.095,Ball Receipt*,
7,,,,,,,,,,,,,,,,,,1.984711,,,,,,,,,,,,6c4c62f2-7d95-4094-a714-50c0161ee2e6,7,,,"[56.2, 40.8]",3895052,0,,,,1.606709,,Right Foot,,,"[55.0, 74.2]",,Ground Pass,,33.42155,,,,,Benjamin Henrichs,8211.0,,,,,,1,From Kick Off,Daniel Olmo Carvajal,16532.0,Left Center Forward,2,RB Leipzig,182,['15bf07b2-c5b7-4074-8693-1d9e4a5b7153'],1,,,,,,,,,,,,,,,,,RB Leipzig,182,00:00:01.607,Pass,
1088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15bf07b2-c5b7-4074-8693-1d9e4a5b7153,8,,,"[55.0, 74.2]",3895052,0,,,,,,,,,,,,,,,,,,,,,,,,,1,From Kick Off,Benjamin Henrichs,8211.0,Right Back,2,RB Leipzig,182,['6c4c62f2-7d95-4094-a714-50c0161ee2e6'],3,,,,,,,,,,,,,,,,,RB Leipzig,182,00:00:03.591,Ball Receipt*,
2106,,,,,,"[56.4, 74.4]",,,,,,,,,,,,1.26738,,,,,,,,,,,,3c689040-9b59-4fad-8456-48b2ec8a2058,9,,,"[55.0, 74.2]",3895052,0,,,,,,,,,,,,,,,,,,,,,,,,,1,From Kick Off,Benjamin Henrichs,8211.0,Right Back,2,RB Leipzig,182,"['15bf07b2-c5b7-4074-8693-1d9e4a5b7153', '88661240-834a-430d-8629-b37b64dbcddc']",3,,,,,,,,,,,,,,,,,RB Leipzig,182,00:00:03.591,Carry,
8,,,,,,,,,,,,,,,,,,2.0595,,,,,,,,,,,,88661240-834a-430d-8629-b37b64dbcddc,10,,,"[56.4, 74.4]",3895052,0,,,,-2.7399497,,Right Foot,,,"[37.8, 66.5]",,Ground Pass,,20.208166,,,,,Mohamed Simakan,30360.0,,,,,,1,From Kick Off,Benjamin Henrichs,8211.0,Right Back,2,RB Leipzig,182,['98e575e4-0886-40e5-96a8-9c9f857ebcc1'],4,,,,,,,,,,,,,,,,,RB Leipzig,182,00:00:04.859,Pass,
1089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98e575e4-0886-40e5-96a8-9c9f857ebcc1,11,,,"[37.8, 66.5]",3895052,0,,,,,,,,,,,,,,,,,,,,,,,,,1,From Kick Off,Mohamed Simakan,30360.0,Right Center Back,2,RB Leipzig,182,['88661240-834a-430d-8629-b37b64dbcddc'],6,,,,,,,,,,,,,,,,,RB Leipzig,182,00:00:06.918,Ball Receipt*,
2107,,,,,,"[35.8, 64.7]",,,,,,,,,,,,1.204258,,,,,,,,,,,,f019df08-0da5-48d9-a838-1da35f369c3c,12,,,"[37.8, 66.5]",3895052,0,,,,,,,,,,,,,,,,,,,,,,,,,1,From Kick Off,Mohamed Simakan,30360.0,Right Center Back,2,RB Leipzig,182,"['1d75ee1b-f1e8-43ab-a31d-cc0805acd5e2', '98e575e4-0886-40e5-96a8-9c9f857ebcc1']",6,,,,,,,,,,,,,,,,,RB Leipzig,182,00:00:06.918,Carry,
9,,,,,,,,,,,,,,,,,,1.76291,,,,,,,,,,,,1d75ee1b-f1e8-43ab-a31d-cc0805acd5e2,13,,,"[35.8, 64.7]",3895052,0,,,,-1.6730995,,Right Foot,,,"[33.1, 38.4]",,Ground Pass,,26.43823,,,,,Willi Orban,8509.0,,,,,,1,From Kick Off,Mohamed Simakan,30360.0,Right Center Back,2,RB Leipzig,182,['8f1fbe41-034b-43eb-9585-edbb0aadb7ba'],8,,,,,,,,,,,,,,,,,RB Leipzig,182,00:00:08.123,Pass,
1090,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8f1fbe41-034b-43eb-9585-edbb0aadb7ba,14,,,"[33.1, 38.4]",3895052,0,,,,,,,,,,,,,,,,,,,,,,,,,1,From Kick Off,Willi Orban,8509.0,Left Center Back,2,RB Leipzig,182,['1d75ee1b-f1e8-43ab-a31d-cc0805acd5e2'],9,,,,,,,,,,,,,,,,,RB Leipzig,182,00:00:09.885,Ball Receipt*,
2108,,,,,,"[36.0, 36.4]",,,,,,,,,,,,2.487559,,,,,,,,,,,,4127d02c-6da9-47dc-b26f-40da7d121a92,15,,,"[33.1, 38.4]",3895052,0,,,,,,,,,,,,,,,,,,,,,,,,,1,From Kick Off,Willi Orban,8509.0,Left Center Back,2,RB Leipzig,182,"['585a8685-12a2-418f-91a6-4d2a02ad8430', '8f1fbe41-034b-43eb-9585-edbb0aadb7ba']",9,,,,,,,,,,,,,,,,,RB Leipzig,182,00:00:09.885,Carry,
10,,,,,,,,,,,,,,,,,,1.08951,,,,,,,,,,,,585a8685-12a2-418f-91a6-4d2a02ad8430,16,,,"[36.0, 36.4]",3895052,0,,,,1.579235,,Right Foot,,,"[35.8, 60.1]",,Ground Pass,,23.700844,,,,,Mohamed Simakan,30360.0,,,,,,1,From Kick Off,Willi Orban,8509.0,Left Center Back,2,RB Leipzig,182,['54f1c83c-f7c4-4413-8a2a-69aaac9bec05'],12,,,,,,,,,,,,,,,,,RB Leipzig,182,00:00:12.373,Pass,
1091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54f1c83c-f7c4-4413-8a2a-69aaac9bec05,17,,,"[35.8, 60.1]",3895052,0,,,,,,,,,,,,,,,,,,,,,,,,,1,From Kick Off,Mohamed Simakan,30360.0,Right Center Back,2,RB Leipzig,182,['585a8685-12a2-418f-91a6-4d2a02ad8430'],13,,,,,,,,,,,,,,,,,RB Leipzig,182,00:00:13.463,Ball Receipt*,
2109,,,,,,"[35.1, 60.1]",,,,,,,,,,,,0.783589,,,,,,,,,,,,50fa5c47-ce69-41d3-bf4a-29b4f86d02fd,18,,,"[35.8, 60.1]",3895052,0,,,,,,,,,,,,,,,,,,,,,,,,,1,From Kick Off,Mohamed Simakan,30360.0,Right Center Back,2,RB Leipzig,182,"['54f1c83c-f7c4-4413-8a2a-69aaac9bec05', '93753357-15d4-4424-9899-669adf6f34ea']",13,,,,,,,,,,,,,,,,,RB Leipzig,182,00:00:13.463,Carry,
11,,,,,,,,,,,,,,,,,,1.262947,,,,,,,,,,,,93753357-15d4-4424-9899-669adf6f34ea,19,,,"[35.1, 60.1]",3895052,0,,,,0.7853982,,Right Foot,,,"[48.4, 73.4]",,Ground Pass,,18.80904,,,,,Benjamin Henrichs,8211.0,,,,,,1,From Kick Off,Mohamed Simakan,30360.0,Right Center Back,2,RB Leipzig,182,['bf8ecf65-adbc-42d1-99f7-c48a6ef2ec06'],14,,,,,,,,,,,,,,,,,RB Leipzig,182,00:00:14.246,Pass,
1092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bf8ecf65-adbc-42d1-99f7-c48a6ef2ec06,20,,,"[48.4, 73.4]",3895052,0,,,,,,,,,,,,,,,,,,,,,,,,,1,From Kick Off,Benjamin Henrichs,8211.0,Right Back,2,RB Leipzig,182,['93753357-15d4-4424-9899-669adf6f34ea'],15,,,,,,,,,,,,,,,,,RB Leipzig,182,00:00:15.509,Ball Receipt*,
2110,,,,,,"[58.0, 75.8]",,,,,,,,,,,,2.298755,,,,,,,,,,,,67f9bdbc-8feb-49b2-b7fe-705375aac0db,21,,,"[48.4, 73.4]",3895052,0,,,,,,,,,,,,,,,,,,,,,,,,,1,From Kick Off,Benjamin Henrichs,8211.0,Right Back,2,RB Leipzig,182,"['86a2db30-3020-4a3a-af2f-3b1d59b73adc', 'bf8ecf65-adbc-42d1-99f7-c48a6ef2ec06']",15,,,,,,,,,,,,,,,,,RB Leipzig,182,00:00:15.509,Carry,
12,,,,,,,,,,,,,,,,,,1.151433,,,,,,,,,,,,86a2db30-3020-4a3a-af2f-3b1d59b73adc,22,,,"[58.0, 75.8]",3895052,0,,,,-0.7853982,,Right Foot,,,"[79.9, 53.9]",,High Pass,,30.971277,,,,,Daniel Olmo Carvajal,16532.0,,,,,,1,From Kick Off,Benjamin Henrichs,8211.0,Right Back,2,RB Leipzig,182,['da618d2e-27e6-47f5-ba91-a32d880fc3f3'],17,,,,,,,,,,,,,,,,,RB Leipzig,182,00:00:17.808,Pass,
1093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,da618d2e-27e6-47f5-ba91-a32d880fc3f3,23,,,"[79.9, 53.9]",3895052,0,,,,,,,,,,,,,,,,,,,,,,,,,1,From Kick Off,Daniel Olmo Carvajal,16532.0,Left Center Forward,2,RB Leipzig,182,['86a2db30-3020-4a3a-af2f-3b1d59b73adc'],18,,,,,,,,,,,,,,,,,RB Leipzig,182,00:00:18.959,Ball Receipt*,
2111,,,,,,"[79.9, 51.7]",,,,,,,,,,,,0.013837,,,,,,,,,,,,c6085c22-483f-4a4b-a3a7-27fbee22ae65,24,,,"[79.9, 53.9]",3895052,0,,,,,,,,,,,,,,,,,,,,,,,,,1,From Kick Off,Daniel Olmo Carvajal,16532.0,Left Center Forward,2,RB Leipzig,182,"['5ecff428-f7e5-4098-a070-003bae61d520', 'da618d2e-27e6-47f5-ba91-a32d880fc3f3']",18,,,,,,,,,,,,,,,,,RB Leipzig,182,00:00:18.959,Carry,
2998,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,5ecff428-f7e5-4098-a070-003bae61d520,25,,,"[79.9, 51.7]",3895052,0,,,,,,,,,,,,,,,,,,,,,,,,,1,From Kick Off,Daniel Olmo Carvajal,16532.0,Left Center Forward,2,RB Leipzig,182,,18,,,,,,,,,,,,,,,,,RB Leipzig,182,00:00:18.973,Miscontrol,
13,,,,,,,,,,,,,,,,,,1.658207,,,,,,,,,,,,a6f33202-5449-458f-8473-9c4274528e11,26,,,"[36.5, 29.6]",3895052,0,,,,-1.6780752,,Left Foot,,,"[35.1, 16.6]",,Low Pass,,13.075168,,,Incomplete,,Edmond Fayçal Tapsoba,30606.0,,,,,Recovery,1,From Kick Off,Odilon Kossonou,27133.0,Right Center Back,2,RB Leipzig,182,"['ce0cff7d-de0c-4e19-8496-2dd948d69413', 'ebaf6e35-461e-411b-a4c6-bd8c8807ed4b']",20,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:00:20.033,Pass,
1094,,,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,ce0cff7d-de0c-4e19-8496-2dd948d69413,27,,,"[34.7, 14.4]",3895052,0,,,,,,,,,,,,,,,,,,,,,,,,,1,From Kick Off,Edmond Fayçal Tapsoba,30606.0,Left Center Back,2,RB Leipzig,182,['a6f33202-5449-458f-8473-9c4274528e11'],21,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:00:21.691,Ball Receipt*,
14,,,,,,,,,,,,,,,,,,0.900939,,,,,,,,,,,,ebaf6e35-461e-411b-a4c6-bd8c8807ed4b,28,,,"[85.0, 63.5]",3895052,0,,,,-1.6630195,,Left Foot,,,"[83.4, 46.2]",,Ground Pass,,17.37383,,,,,Daniel Olmo Carvajal,16532.0,,,,,Recovery,1,From Kick Off,Ikoma Loïs Openda,16275.0,Right Center Forward,2,RB Leipzig,182,"['9a40ee6a-81c2-48c1-b86d-7b611f1cbad9', 'a6f33202-5449-458f-8473-9c4274528e11']",21,,,,,,,,,,,,,,,,,RB Leipzig,182,00:00:21.691,Pass,
1095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9a40ee6a-81c2-48c1-b86d-7b611f1cbad9,29,,,"[83.4, 46.2]",3895052,0,,,,,,,,,,,,,,,,,,,,,,,,,1,From Kick Off,Daniel Olmo Carvajal,16532.0,Left Center Forward,2,RB Leipzig,182,['ebaf6e35-461e-411b-a4c6-bd8c8807ed4b'],22,,,,,,,,,,,,,,,,,RB Leipzig,182,00:00:22.592,Ball Receipt*,
2112,,,,,,"[84.0, 44.4]",,,,,,,,,,,,0.895452,,,,,,,,,,,,064b72e5-2907-4fec-ae0a-2108f5e8524f,30,,,"[83.4, 46.2]",3895052,0,,,,,,,,,,,,,,,,,,,,,,,,,1,From Kick Off,Daniel Olmo Carvajal,16532.0,Left Center Forward,2,RB Leipzig,182,"['9a40ee6a-81c2-48c1-b86d-7b611f1cbad9', 'bf131dfc-aa54-477b-aa3a-fe427e0f5a4d']",22,,,,,,,,,,,,,,,,,RB Leipzig,182,00:00:22.592,Carry,
15,,,,,,,,,,,,,,,,,,1.66366,,,,,,,,,,,,bf131dfc-aa54-477b-aa3a-fe427e0f5a4d,31,,,"[84.0, 44.4]",3895052,0,,,,-1.6399499,,Left Foot,,,"[82.4, 21.3]",,Ground Pass,,23.155344,,,,,David Raum,12034.0,,,,,,1,From Kick Off,Daniel Olmo Carvajal,16532.0,Left Center Forward,2,RB Leipzig,182,['24fa959e-ad78-4dfb-9cf7-ff352947271c'],23,,,,,,,,,,,,,,,,,RB Leipzig,182,00:00:23.488,Pass,
1096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24fa959e-ad78-4dfb-9cf7-ff352947271c,32,,,"[82.4, 21.3]",3895052,0,,,,,,,,,,,,,,,,,,,,,,,,,1,From Kick Off,David Raum,12034.0,Left Back,2,RB Leipzig,182,['bf131dfc-aa54-477b-aa3a-fe427e0f5a4d'],25,,,,,,,,,,,,,,,,,RB Leipzig,182,00:00:25.151,Ball Receipt*,
2113,,,,,,"[83.0, 14.5]",,,,,,,,,,,,0.331067,,,,,,,,,,,,03f103fa-f1fc-463e-87d9-cd3db62d4291,33,,,"[82.4, 21.3]",3895052,0,,,,,,,,,,,,,,,,,,,,,,,,,1,From Kick Off,David Raum,12034.0,Left Back,2,RB Leipzig,182,"['24fa959e-ad78-4dfb-9cf7-ff352947271c', 'da6d72e8-314a-4232-892f-7f2b7aa233da']",25,,,,,,,,,,,,,,,,,RB Leipzig,182,00:00:25.151,Carry,
16,,,,,,,,,,,,,,,,,,2.140288,,,,,,,,,,,,da6d72e8-314a-4232-892f-7f2b7aa233da,34,,,"[83.0, 14.5]",3895052,0,,,,0.0871152,,Left Foot,,,"[105.9, 16.5]",,Ground Pass,,22.987171,,,,,Ikoma Loïs Openda,16275.0,,,,,,1,From Kick Off,David Raum,12034.0,Left Back,2,RB Leipzig,182,['87c20b3f-2fe3-4696-b387-5997a79262eb'],25,,,,,,,,,,,,,,,,,RB Leipzig,182,00:00:25.482,Pass,
1097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87c20b3f-2fe3-4696-b387-5997a79262eb,35,,,"[105.9, 16.5]",3895052,0,,,,,,,,,,,,,,,,,,,,,,,,,1,From Kick Off,Ikoma Loïs Openda,16275.0,Right Center Forward,2,RB Leipzig,182,['da6d72e8-314a-4232-892f-7f2b7aa233da'],27,,,,,,,,,,,,,,,,,RB Leipzig,182,00:00:27.623,Ball Receipt*,
2114,,,,,,"[115.1, 13.3]",,,,,,,,,,,,1.272016,,,,,,,,,,,,ce148b24-1185-48a7-bc22-d593e8115f3c,36,,,"[105.9, 16.5]",3895052,0,,,,,,,,,,,,,,,,,,,,,,,,,1,From Kick Off,Ikoma Loïs Openda,16275.0,Right Center Forward,2,RB Leipzig,182,"['87c20b3f-2fe3-4696-b387-5997a79262eb', 'f2148745-955f-4ae6-99fc-7eea72344f5c']",27,,,,,,,,,,,,,,,,,RB Leipzig,182,00:00:27.623,Carry,
17,,,,,,,,,,,,,,,,,,0.180191,,,,,,,,,,,,f2148745-955f-4ae6-99fc-7eea72344f5c,37,,,"[115.1, 13.3]",3895052,0,,,,1.5363272,,Left Foot,,,"[115.3, 19.1]",,Low Pass,,5.8034472,,,Incomplete,,,,,,,,,1,From Kick Off,Ikoma Loïs Openda,16275.0,Right Center Forward,2,RB Leipzig,182,['914c3940-48b4-4246-bd08-2b34e8349649'],28,,,,,,,,,,,,,,,,,RB Leipzig,182,00:00:28.895,Pass,
3018,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,914c3940-48b4-4246-bd08-2b34e8349649,38,,,"[4.8, 61.0]",3895052,0,,True,,,,,,,,,,,,,,,,,,,,,,,1,From Kick Off,Odilon Kossonou,27133.0,Right Center Back,2,RB Leipzig,182,['f2148745-955f-4ae6-99fc-7eea72344f5c'],29,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:00:29.075,Block,
18,,,,,,,,,,,,,,,,,,1.448215,,,,,,,,,,,,87666b3c-fae0-4ec8-a71d-c2d3be7beb84,39,,,"[113.5, 0.1]",3895052,0,,,,2.8618343,,,,,"[95.4, 5.3]",,Low Pass,,18.832153,,,,,Timo Werner,5557.0,,,,,Throw-in,1,From Throw In,David Raum,12034.0,Left Back,3,RB Leipzig,182,['351f7fc6-14b7-46ba-9fb9-04f41961ded3'],46,,,,,,,,,,,,,,,,,RB Leipzig,182,00:00:46.278,Pass,
1098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,351f7fc6-14b7-46ba-9fb9-04f41961ded3,40,,,"[95.4, 5.3]",3895052,0,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Timo Werner,5557.0,Left Midfield,3,RB Leipzig,182,['87666b3c-fae0-4ec8-a71d-c2d3be7beb84'],47,,,,,,,,,,,,,,,,,RB Leipzig,182,00:00:47.726,Ball Receipt*,
2115,,,,,,"[96.0, 6.3]",,,,,,,,,,,,0.818854,,,,,,,,,,,,fdc51a4b-28c8-4fce-84e7-171fe7b1d4b6,41,,,"[95.4, 5.3]",3895052,0,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Timo Werner,5557.0,Left Midfield,3,RB Leipzig,182,"['351f7fc6-14b7-46ba-9fb9-04f41961ded3', '8d0349fb-568c-440c-9069-42adbf1f9c3a', '96bd8297-91b0-47fc-a7b2-2c433ec2e694']",47,,,,,,,,,,,,,,,,,RB Leipzig,182,00:00:47.726,Carry,True
3050,,,,,,,,,,,,,,,,,,0.191839,,,,,,,,,,,,96bd8297-91b0-47fc-a7b2-2c433ec2e694,42,,,"[22.3, 73.6]",3895052,0,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Jeremie Frimpong,32712.0,Right Wing Back,3,RB Leipzig,182,['fdc51a4b-28c8-4fce-84e7-171fe7b1d4b6'],48,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:00:48.214,Pressure,
19,,,,,,,,,,,,,,,,,,1.721692,,,,,,,,,,,,8d0349fb-568c-440c-9069-42adbf1f9c3a,43,,,"[96.0, 6.3]",3895052,0,,,,3.040987,,Right Foot,,,"[64.3, 9.5]",,Low Pass,,31.861105,,,,,Willi Orban,8509.0,,,,,,1,From Throw In,Timo Werner,5557.0,Left Midfield,3,RB Leipzig,182,['47018dac-e300-4c82-be64-a8bc5b624fe0'],48,,,,,,,,,,,,,,,,,RB Leipzig,182,00:00:48.545,Pass,
1099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47018dac-e300-4c82-be64-a8bc5b624fe0,44,,,"[64.3, 9.5]",3895052,0,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Willi Orban,8509.0,Left Center Back,3,RB Leipzig,182,['8d0349fb-568c-440c-9069-42adbf1f9c3a'],50,,,,,,,,,,,,,,,,,RB Leipzig,182,00:00:50.267,Ball Receipt*,
2116,,,,,,"[54.6, 11.7]",,,,,,,,,,,,1.660305,,,,,,,,,,,,e3fd3a05-da3c-47a0-a92c-2719348c579e,45,,,"[64.3, 9.5]",3895052,0,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Willi Orban,8509.0,Left Center Back,3,RB Leipzig,182,"['47018dac-e300-4c82-be64-a8bc5b624fe0', '6a0f8b8e-4e1b-42ee-b523-30b9a57b096e']",50,,,,,,,,,,,,,,,,,RB Leipzig,182,00:00:50.267,Carry,
20,,,,,,,,,,,,,,,,,,1.698349,,,,,,,,,,,,6a0f8b8e-4e1b-42ee-b523-30b9a57b096e,46,,,"[54.6, 11.7]",3895052,0,,,,1.5973681,,Right Foot,,,"[53.8, 41.8]",,Ground Pass,,30.11063,,,,,Mohamed Simakan,30360.0,,,,,,1,From Throw In,Willi Orban,8509.0,Left Center Back,3,RB Leipzig,182,['439b5ce9-bc81-47ba-8976-7bcd6b7de738'],51,,,,,,,,,,,,,,,,,RB Leipzig,182,00:00:51.927,Pass,
1100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,439b5ce9-bc81-47ba-8976-7bcd6b7de738,47,,,"[53.8, 41.8]",3895052,0,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Mohamed Simakan,30360.0,Right Center Back,3,RB Leipzig,182,['6a0f8b8e-4e1b-42ee-b523-30b9a57b096e'],53,,,,,,,,,,,,,,,,,RB Leipzig,182,00:00:53.626,Ball Receipt*,
2117,,,,,,"[54.6, 46.2]",,,,,,,,,,,,0.804539,,,,,,,,,,,,65bd167c-af9e-4117-a832-2bd3eab41c47,48,,,"[53.8, 41.8]",3895052,0,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Mohamed Simakan,30360.0,Right Center Back,3,RB Leipzig,182,"['439b5ce9-bc81-47ba-8976-7bcd6b7de738', 'd626a450-651a-452f-8bd2-40bd73e5570f']",53,,,,,,,,,,,,,,,,,RB Leipzig,182,00:00:53.626,Carry,
