type,possession_team,player,position,player_id,pass_recipient,id,timestamp,location,pass_end_location,pass_length,pass_outcome
Ball Receipt*,Bayer Leverkusen,Lukáš Hrádecký,Goalkeeper,8667.0,,36f7128d-31b5-4f4f-b928-79e4bb8363ab,00:03:44.792,"[14.2, 45.7]",,,
Pressure,Bayer Leverkusen,Ikoma Loïs Openda,Right Center Forward,16275.0,,72f703c6-b9b4-4edd-88b5-3d0684f2468f,00:03:45.547,"[105.5, 36.2]",,,
Pass,Bayer Leverkusen,Lukáš Hrádecký,Goalkeeper,8667.0,,b296ceac-b0af-48e2-98c4-ceff5443fa35,00:03:45.856,"[13.6, 47.5]","[56.0, 59.6]",44.092743,Incomplete
Ball Recovery,Bayer Leverkusen,Xaver Schlager,Left Defensive Midfield,8769.0,,7c659f16-3145-4393-96ad-541b504c8f13,00:03:47.798,"[64.1, 20.5]",,,
Carry,Bayer Leverkusen,Xaver Schlager,Left Defensive Midfield,8769.0,,d53b30ec-a2c0-4e13-8619-f7aace475d28,00:03:47.798,"[64.1, 20.5]",,,
Pressure,Bayer Leverkusen,Jonas Hofmann,Right Wing,8804.0,,b1930f44-1c66-426c-8ca9-c5c9dc54fb27,00:03:48.587,"[55.6, 64.8]",,,
Pass,Bayer Leverkusen,Xaver Schlager,Left Defensive Midfield,8769.0,,d6f9d7cd-642d-476b-afae-e6d251554cde,00:03:48.951,"[64.3, 11.3]","[94.0, 24.3]",32.420517,Incomplete
Ball Recovery,Bayer Leverkusen,Jonathan Tah,Center Back,8221.0,,01de2f19-a51f-4e53-add3-1887e7f141fb,00:03:51.646,"[26.1, 55.8]",,,
Carry,Bayer Leverkusen,Jonathan Tah,Center Back,8221.0,,e21a8f4f-eaf7-4772-99da-dfc8385e7a48,00:03:51.646,"[26.1, 55.8]",,,
Pass,Bayer Leverkusen,Jonathan Tah,Center Back,8221.0,Exequiel Alejandro Palacios,4c13ef4b-f1bc-41ec-bce8-379094aee5ab,00:03:55.039,"[14.2, 69.6]","[26.9, 57.0]",17.889942,
Ball Receipt*,Bayer Leverkusen,Exequiel Alejandro Palacios,Right Defensive Midfield,28268.0,,7a5f3edb-7387-472d-9ab8-d44a4ed350ed,00:03:56.087,"[26.9, 57.0]",,,
Carry,Bayer Leverkusen,Exequiel Alejandro Palacios,Right Defensive Midfield,28268.0,,9ee72651-72db-4196-af2f-388ee1f6a92c,00:03:56.087,"[26.9, 57.0]",,,
Pressure,Bayer Leverkusen,Xaver Schlager,Left Defensive Midfield,8769.0,,bc13fb18-c79a-4285-8048-4ce55d990c06,00:03:56.505,"[91.8, 23.9]",,,
Pass,Bayer Leverkusen,Exequiel Alejandro Palacios,Right Defensive Midfield,28268.0,Odilon Kossonou,48d10da6-9958-476a-ae24-618d673f3fef,00:03:57.406,"[25.9, 62.2]","[25.9, 72.8]",10.6,
Ball Receipt*,Bayer Leverkusen,Odilon Kossonou,Right Center Back,27133.0,,8b9045a9-99bf-4e9e-83a6-79404c3c903d,00:03:58.616,"[25.9, 72.8]",,,
Carry,Bayer Leverkusen,Odilon Kossonou,Right Center Back,27133.0,,41fd0101-4197-4b4d-adcc-4bb242e5f3f7,00:03:58.616,"[25.9, 72.8]",,,
Pressure,Bayer Leverkusen,Nicolas Seiwald,Right Defensive Midfield,39460.0,,327d219f-afa6-44c2-8514-3b3dce674bd4,00:03:59.018,"[92.2, 9.1]",,,
Pass,Bayer Leverkusen,Odilon Kossonou,Right Center Back,27133.0,Jonas Hofmann,9db6a916-bdf3-459f-86dd-c6899468b928,00:03:59.054,"[26.9, 74.2]","[46.4, 66.4]",21.002142,
Ball Receipt*,Bayer Leverkusen,Jonas Hofmann,Right Wing,8804.0,,bc772473-a54b-4286-ac90-3e7a2cde57cf,00:04:00.301,"[46.4, 66.4]",,,
Carry,Bayer Leverkusen,Jonas Hofmann,Right Wing,8804.0,,abf61b42-aee9-42ec-a079-7587daf41665,00:04:00.301,"[46.4, 66.4]",,,
Pressure,Bayer Leverkusen,Xaver Schlager,Left Defensive Midfield,8769.0,,3c451d86-3acc-459b-b147-66e17620685d,00:04:00.828,"[73.9, 18.1]",,,
Pass,Bayer Leverkusen,Jonas Hofmann,Right Wing,8804.0,Florian Wirtz,73248c73-24d7-467d-a8a3-c4460a8a8eda,00:04:01.198,"[45.0, 65.6]","[56.0, 54.2]",15.841717,
Ball Receipt*,Bayer Leverkusen,Florian Wirtz,Left Wing,40724.0,,cff9e25c-04ef-48fa-aa6c-7d6793b46550,00:04:01.894,"[56.0, 54.2]",,,
Carry,Bayer Leverkusen,Florian Wirtz,Left Wing,40724.0,,9cb7e597-9ad0-4bce-86f1-4882ed215819,00:04:01.894,"[56.0, 54.2]",,,
Pass,Bayer Leverkusen,Florian Wirtz,Left Wing,40724.0,Jeremie Frimpong,21dede0b-3592-49ea-a9d5-89ac71b1b282,00:04:05.203,"[79.3, 51.9]","[109.5, 54.6]",30.320456,Incomplete
Pressure,Bayer Leverkusen,Jeremie Frimpong,Right Wing Back,32712.0,,e5f06414-6c61-4d30-abea-76dc87ee2f51,00:04:07.779,"[111.5, 56.6]",,,
Ball Receipt*,Bayer Leverkusen,Jeremie Frimpong,Right Wing Back,32712.0,,5bc6657b-a17c-486e-ad59-22672d97b128,00:04:08.334,"[108.1, 55.6]",,,
Interception,RB Leipzig,Willi Orban,Left Center Back,8509.0,,37ef3617-eef5-4932-b39e-7ba609cda9e9,00:04:08.334,"[10.6, 25.5]",,,
Carry,RB Leipzig,Willi Orban,Left Center Back,8509.0,,ae42d577-0431-4f31-9ead-6e4b21eb996c,00:04:08.334,"[10.6, 25.5]",,,
Pass,RB Leipzig,Willi Orban,Left Center Back,8509.0,,3338b6f2-30a2-4ddc-bc42-6f104e07417c,00:04:09.783,"[8.6, 20.5]","[57.0, 9.5]",49.634262,Unknown
Foul Committed,RB Leipzig,Jonathan Tah,Center Back,8221.0,,abf165aa-2ce1-4c25-bf70-490c5b2abd92,00:04:12.537,"[62.9, 71.6]",,,
Foul Won,RB Leipzig,Daniel Olmo Carvajal,Left Center Forward,16532.0,,41c508b5-f7de-4d1c-9906-43812e26e08a,00:04:12.537,"[57.2, 8.5]",,,
Pass,RB Leipzig,David Raum,Left Back,12034.0,Willi Orban,00119947-82ad-443c-af11-6dd33262c767,00:04:31.414,"[57.6, 7.5]","[30.9, 13.5]",27.365854,
Ball Receipt*,RB Leipzig,Willi Orban,Left Center Back,8509.0,,8f2b509c-1b20-4fee-b757-e93b371d3008,00:04:34.072,"[30.9, 13.5]",,,
Pass,RB Leipzig,Willi Orban,Left Center Back,8509.0,Janis Blaswich,ad9f5632-f016-4768-bb7f-f954877f062a,00:04:34.538,"[24.7, 21.1]","[18.3, 39.0]",19.009735,
Ball Receipt*,RB Leipzig,Janis Blaswich,Goalkeeper,15155.0,,69d57cf5-7da9-48d1-9f9d-a8929a77f91b,00:04:35.651,"[18.3, 39.0]",,,
Carry,RB Leipzig,Janis Blaswich,Goalkeeper,15155.0,,06904d29-3849-430d-8a89-6dfe0363c0aa,00:04:35.651,"[18.3, 39.0]",,,
Pass,RB Leipzig,Janis Blaswich,Goalkeeper,15155.0,Willi Orban,4cacd608-9f81-4f99-a2ee-6215f1c722dc,00:04:36.475,"[16.5, 40.2]","[20.5, 28.8]",12.08139,
Ball Receipt*,RB Leipzig,Willi Orban,Left Center Back,8509.0,,018bfbd5-8993-41c6-9f87-96900fdb3b6b,00:04:37.445,"[20.5, 28.8]",,,
Carry,RB Leipzig,Willi Orban,Left Center Back,8509.0,,e12d511e-1106-4f3b-bf88-d506519c4884,00:04:37.445,"[20.5, 28.8]",,,
Pass,RB Leipzig,Willi Orban,Left Center Back,8509.0,Janis Blaswich,c1ce0b69-c83b-4203-a004-0cc06eaaea18,00:04:37.775,"[21.9, 27.2]","[15.7, 41.4]",15.494515,
Ball Receipt*,RB Leipzig,Janis Blaswich,Goalkeeper,15155.0,,a9d798fa-3d9d-4b30-9e68-36e6d3883cd3,00:04:38.985,"[15.7, 41.4]",,,
Carry,RB Leipzig,Janis Blaswich,Goalkeeper,15155.0,,a59fc0f2-8e48-4685-a06b-7b4dddeef5ee,00:04:38.985,"[15.7, 41.4]",,,
Pass,RB Leipzig,Janis Blaswich,Goalkeeper,15155.0,Mohamed Simakan,513566a5-0596-433d-b838-5a0ecbbb6391,00:04:41.370,"[13.9, 44.2]","[18.5, 57.7]",14.262188,
Ball Receipt*,RB Leipzig,Mohamed Simakan,Right Center Back,30360.0,,9aaa2778-697e-4c11-82eb-8c57f2d4ec16,00:04:42.500,"[18.5, 57.7]",,,
Carry,RB Leipzig,Mohamed Simakan,Right Center Back,30360.0,,1a72cf08-746a-4d2b-907f-05cc7a7e8f01,00:04:42.500,"[18.5, 57.7]",,,
